Mk,m (kg),W (mm),At1 (mm),ec (cm3),ep (KW),Mp_BMW GROUP,Mp_DAIMLER AG,Mp_GENERAL MOTORS,Mp_KIA,Mp_MITSUBISHI MOTORS,Mp_RENAULT,Mp_SUZUKI POOL,Mp_VW GROUP PC,Fm_B,Fm_E,Fm_M,Ft_Diesel,Ft_Diesel/Electric,Ft_Electric,Ft_LPG,Ft_NG-biomethane,Ft_Petrol,Ft_Petrol/Electric
0.35734130912888196,0.22014051522248246,0.2863133816240945,0.5047438330170779,0.2164863979023271,0.07369402985074627,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.388668643194474,0.2220140515222483,0.2870758673274876,0.46299810246679307,0.15585054080629301,0.046641791044776115,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.425298630071092,0.25761124121779855,0.3061380099123142,0.5275142314990511,0.13962635201573254,0.04104477611940298,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.4367532775653494,0.5058548009367682,0.3839115516584063,0.5939278937381403,0.7889216650278597,0.37220149253731344,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.392813908516714,0.37423887587822013,0.34044986656500187,0.5578747628083494,0.15585054080629301,0.10820895522388059,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.3667480924724632,0.1920374707259953,0.22493328250095312,0.32827324478178355,0.15585054080629301,0.0503731343283582,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.46838407494145196,0.3839115516584063,0.5635673624288424,0.24516551950180265,0.08768656716417911,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.34959068932032106,0.2608899297423888,0.37094929470072435,0.5768500948766602,0.14962307440183542,0.05317164179104478,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.6580796252927401,0.39954250857796414,0.7229601518026567,0.6581448705342511,0.2835820895522388,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.392813908516714,0.38313817330210775,0.36675562333206246,0.6148007590132827,0.21451982956407734,0.08768656716417911,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
