Mk,m (kg),Enedc (g/km),W (mm),At1 (mm),ec (cm3),ep (KW),Mp_BMW GROUP,Mp_DAIMLER AG,Mp_GENERAL MOTORS,Mp_KIA,Mp_MITSUBISHI MOTORS,Mp_RENAULT,Mp_SUZUKI POOL,Mp_VW GROUP PC,Fm_B,Fm_E,Fm_M,Ft_Diesel,Ft_Diesel/Electric,Ft_Electric,Ft_LPG,Ft_NG-biomethane,Ft_Petrol,Ft_Petrol/Electric
134.53529411764706,1417.0,125.0,2626.0,1533.0,1968.0,135.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
134.53529411764706,1505.0,129.0,2786.0,1569.0,1395.0,110.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1695.0,141.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1695.0,141.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1695.0,141.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1695.0,141.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,145.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,145.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
149.194088899232,1901.0,246.0,2780.0,1577.0,1991.0,180.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,147.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,147.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,147.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,152.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,152.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,152.0,2920.0,1541.0,1998.0,185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1735.0,161.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1735.0,161.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1735.0,166.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1735.0,166.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
149.194088899232,1615.0,159.0,2780.0,1577.0,2987.0,190.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1735.0,166.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1735.0,166.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1800.0,168.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1800.0,170.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1800.0,170.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1800.0,170.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1800.0,175.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1800.0,175.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1800.0,175.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1800.0,175.0,2920.0,1541.0,2998.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
149.194088899232,1890.0,159.0,2780.0,1577.0,2987.0,190.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1705.0,124.0,2920.0,1541.0,1995.0,165.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1705.0,124.0,2920.0,1541.0,1995.0,165.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
